# id	sire	dam	sex	generation
4100	1566	1855	2	F4
4104	1566	1855	1	F4
4109	1848	1927	2	F4
4110	1848	1927	2	F4
4138	1899	1884	1	F4
4139	1899	1884	2	F4
4143	1961	1799	2	F4
4157	1973	1775	2	F4
4165	1973	1775	1	F4
4180	1949	1943	2	F4
4187	1949	1943	1	F4
4208	1893	1644	2	F4
4243	1629	1959	2	F4
4256	1655	1919	2	F4
4258	1655	1919	1	F4
4264	1791	1894	1	F4
4267	1791	1894	2	F4
4274	1672	1750	1	F4
4295	1917	1826	2	F4
4302	1800	1868	2	F4
4306	1800	1868	1	F4
4331	1876	1970	2	F4
4333	1876	1970	1	F4
4346	1778	1626	1	F4
4350	1778	1626	2	F4
4419	1857	1645	1	F4
4424	1857	1645	2	F4
4571	2549	2538	2	F5
4573	2549	2538	1	F5
4585	2561	2291	2	F5
4589	2561	2291	1	F5
4590	2561	2291	2	F5
4639	2401	2215	2	F5
4640	2401	2215	1	F5
4688	2571	2639	1	F5
4691	2571	2639	2	F5
4715	2566	2409	2	F5
4716	2566	2409	1	F5
4717	2536	2698	1	F5
4718	2536	2698	2	F5
4719	2536	2698	1	F5
4823	2393	2519	1	F5
4826	2393	2519	2	F5
4828	2407	2569	1	F5
4831	2407	2569	2	F5
4833	2407	2569	2	F5
4887	2663	2613	1	F5
4889	2663	2613	2	F5
4900	2678	2679	2	F5
4909	2678	2679	1	F5
4914	2624	2718	1	F5
4915	2624	2718	2	F5
4917	2624	2718	2	F5
4919	2700	2380	1	F5
4921	2700	2380	2	F5
4939	2759	2706	1	F5
4940	2759	2706	2	F5
4970	2287	2665	1	F5
4974	2287	2665	2	F5
4976	2287	2665	1	F5
4987	2548	2628	1	F5
4988	2548	2628	2	F5
4998	2611	2625	1	F5
5006	2631	2648	1	F5
5007	2631	2648	2	F5
5018	2644	2551	2	F5
5041	2585	2695	2	F5
5050	2585	2695	1	F5
5056	2688	2391	1	F5
5058	2688	2391	1	F5
5060	2688	2391	2	F5
5066	2527	2761	1	F5
5070	2527	2761	2	F5
5084	2711	2745	1	F5
5088	2711	2745	2	F5
5111	2653	2396	2	F5
5113	2653	2396	1	F5
5135	2593	2597	2	F5
5136	2593	2597	1	F5
5196	2972	2986	1	F5
5202	2972	2986	2	F5
5296	2958	3254	2	F5
5298	2958	3254	1	F5
5305	2958	3254	2	F5
5345	2985	3064	2	F5
5348	2985	3064	2	F5
5350	2985	3064	1	F5
5432	3069	3074	1	F5
5434	3069	3074	2	F5
5436	3069	3074	1	F5
5496	3320	2976	2	F5
5503	3320	2976	1	F5
5507	3333	3378	1	F5
5510	3333	3378	2	F5
5525	3274	2960	2	F5
5528	3274	2960	1	F5
5530	3274	2960	1	F5
5570	3379	3345	2	F5
5571	3379	3345	1	F5
5572	3379	3345	1	F5
5580	3394	3387	2	F5
5581	3394	3387	1	F5
5588	3384	2782	2	F5
5589	3384	2782	1	F5
5591	3384	2782	2	F5
5601	2720	2676	1	F5
5612	3337	3055	2	F5
5617	2780	3475	1	F5
5619	2780	3475	1	F5
5621	2780	3475	2	F5
5627	3483	3329	2	F5
5637	3511	3269	2	F5
5644	3511	3269	1	F5
5646	3511	3269	1	F5
5657	3518	3504	2	F5
5658	3518	3504	1	F5
5676	3528	3512	1	F5
5689	3795	3818	1	F5
5690	3795	3818	2	F5
5706	3217	3529	1	F5
5707	3217	3529	2	F5
5741	3485	3661	1	F5
5747	3485	3661	2	F5
5750	3485	3661	1	F5
5757	3744	3225	1	F5
5761	3744	3225	2	F5
5765	3257	3667	1	F5
5776	3756	3494	1	F5
5783	3403	3762	1	F5
