eps,mu,Type,power,r
3,2.778,bj0,180.0,6-7
3,2.778,gnull,150.0,8-10
3,2.778,gnull0,150.0,8-10
3,2.778,ggnull0,150.0,8-10
2,2.667,hc,1.0,1-8
2,2.667,gnull,1.0,1-8
2,2.667,bj,1.0,1-8
2,2.667,fdr,1.0,1-8
2,2.667,minP,1.0,1-8
2,2.667,score,1.0,1-8
2,2.667,ggnull,1.0,1-8
2,2.667,ghc,1.0,1-8
7,2.222,hcFull,370.0,1
7,2.222,bj,250.0,12-13
7,2.222,bj0,250.0,12-13
7,2.222,ggnull,200.0,14-17
7,2.222,gnull,200.0,14-17
7,2.222,gnull0,200.0,14-17
7,2.222,ggnull0,200.0,14-17
7,2.222,fdr,340.0,2-3
7,2.222,fdr0,340.0,2-3
7,2.222,minP,330.0,4-5
7,2.222,minP0,330.0,4-5
7,2.222,score,270.0,6-7
7,2.222,score0,270.0,6-7
7,2.222,ghc,260.0,8-11
7,2.222,hc,260.0,8-11
7,2.222,hc0,260.0,8-11
7,2.222,ghc0,260.0,8-11
7,2.778,hcFull,690.0,1
7,2.778,minP,550.0,10-11
7,2.778,minP0,550.0,10-11
7,2.778,ggnull,530.0,12
7,2.778,gnull,520.0,13-15
7,2.778,gnull0,520.0,13-15
7,2.778,ggnull0,520.0,13-15
7,2.778,score,380.0,16-17
7,2.778,score0,380.0,16-17
7,2.778,bj,580.0,2-3
7,2.778,bj0,580.0,2-3
7,2.778,ghc,570.0,4-7
7,2.778,hc,570.0,4-7
7,2.778,hc0,570.0,4-7
7,2.778,ghc0,570.0,4-7
7,2.778,fdr,560.0,8-9
7,2.778,fdr0,560.0,8-9
3,2.889,hcFull,480.0,1-3
3,2.889,fdr,480.0,1-3
3,2.889,fdr0,480.0,1-3
3,2.889,score,180.0,12-13
3,2.889,score0,180.0,12-13
3,2.889,ghc,140.0,14-17
3,2.889,hc,140.0,14-17
3,2.889,hc0,140.0,14-17
3,2.889,ghc0,140.0,14-17
3,2.889,minP,460.0,4-5
3,2.889,minP0,460.0,4-5
3,2.889,bj,280.0,6-7
3,2.889,bj0,280.0,6-7
3,2.889,ggnull,200.0,8-11
3,2.889,gnull,200.0,8-11
3,2.889,gnull0,200.0,8-11
3,2.889,ggnull0,200.0,8-11
7,2.111,hcFull,200.0,1
7,2.111,bj,130.0,12-13
7,2.111,bj0,130.0,12-13
7,2.111,ggnull,100.0,14-17
7,2.111,gnull,100.0,14-17
7,2.111,gnull0,100.0,14-17
7,2.111,ggnull0,100.0,14-17
7,2.111,score,190.0,2-3
7,2.111,score0,190.0,2-3
7,2.111,minP,180.0,4-7
7,2.111,fdr,180.0,4-7
7,2.111,minP0,180.0,4-7
7,2.111,fdr0,180.0,4-7
7,2.111,ghc,160.0,8-11
7,2.111,hc,160.0,8-11
7,2.111,hc0,160.0,8-11
7,2.111,ghc0,160.0,8-11
7,2.889,hcFull,730.0,1
7,2.889,ggnull,610.0,11
7,2.889,ghc,510.0,12-15
7,2.889,hc,510.0,12-15
7,2.889,hc0,510.0,12-15
7,2.889,ghc0,510.0,12-15
7,2.889,score,500.0,16-17
